"ID","First.name","Surname","Playing.for","Jumper.No.","Round","Date","Kicks","Handballs","Disposals","Marks","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Venue","Attendance","Home.team","Away.team","Home.score","Away.score","Season"
12844,"Joel","Amartey","Sydney",36,"0","2024-03-07",3,0,3,1,0,1,2,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12699,"Nick","Blakey","Sydney",22,"0","2024-03-07",18,8,26,9,0,0,0,0,7,6,0,2,2,0,1,6,16,1,0,6,6,2,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12863,"Braeden","Campbell","Sydney",16,"0","2024-03-07",12,4,16,7,0,0,0,2,2,5,1,2,1,0,0,3,15,0,0,1,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12015,"Harry","Cunningham","Sydney",7,"0","2024-03-07",14,4,18,10,0,0,0,3,0,2,1,1,0,0,0,3,15,0,1,5,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12497,"Oliver","Florent","Sydney",13,"0","2024-03-07",10,8,18,3,1,0,0,2,7,2,3,1,0,0,0,8,8,0,0,1,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12510,"Robbie","Fox","Sydney",42,"0","2024-03-07",6,3,9,2,1,1,0,6,0,0,1,4,2,2,0,5,4,0,0,4,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12217,"Brodie","Grundy","Sydney",4,"0","2024-03-07",12,11,23,4,0,0,33,6,1,5,9,9,3,4,0,15,7,2,0,4,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12862,"Errol","Gulden","Sydney",21,"0","2024-03-07",16,4,20,2,0,1,0,2,2,5,2,4,1,1,0,9,14,0,0,2,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12509,"Will","Hayward","Sydney",9,"0","2024-03-07",8,2,10,4,2,0,0,2,1,0,0,2,0,0,0,2,9,0,2,4,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12326,"Isaac","Heeney","Sydney",5,"0","2024-03-07",17,9,26,5,1,1,0,7,2,8,13,2,2,0,0,18,10,0,1,4,0,1,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12860,"James","Jordon","Sydney",17,"0","2024-03-07",8,10,18,3,0,0,0,7,2,4,2,3,1,2,0,6,13,0,0,2,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12268,"Jake","Lloyd","Sydney",44,"0","2024-03-07",8,5,13,5,0,0,0,2,1,1,0,2,2,1,0,5,9,0,0,3,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12627,"Tom","McCartin","Sydney",30,"0","2024-03-07",7,2,9,7,0,0,0,0,1,0,0,3,0,0,0,4,6,1,0,4,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12861,"Logan","McDonald","Sydney",6,"0","2024-03-07",5,3,8,3,1,0,0,1,0,2,0,3,0,1,0,4,4,2,1,2,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12711,"Justin","McInerney","Sydney",27,"0","2024-03-07",7,13,20,6,1,0,1,4,2,1,1,4,0,3,0,6,15,0,0,0,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12745,"Hayden","McLean","Sydney",2,"0","2024-03-07",4,1,5,2,2,2,10,2,0,1,0,5,0,4,0,4,1,1,1,7,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12526,"Lewis","Melican","Sydney",43,"0","2024-03-07",4,1,5,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,6,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12412,"Tom","Papley","Sydney",11,"0","2024-03-07",15,5,20,4,1,1,0,3,1,4,3,1,1,0,0,10,9,0,2,3,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12140,"Dane","Rampe","Sydney",24,"0","2024-03-07",13,6,19,6,0,0,0,0,6,1,0,1,1,0,0,7,10,0,0,4,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12994,"Matt","Roberts","Sydney",34,"0","2024-03-07",16,3,19,8,0,0,0,3,3,1,0,1,1,0,0,1,13,0,0,1,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12714,"James","Rowbottom","Sydney",8,"0","2024-03-07",12,9,21,0,0,2,0,7,2,5,6,4,2,3,0,14,8,0,0,1,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12797,"Chad","Warner","Sydney",1,"0","2024-03-07",17,9,26,4,1,1,0,1,1,12,2,7,2,2,3,11,17,0,0,2,1,2,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12818,"Sam","Wicks","Sydney",15,"0","2024-03-07",2,3,5,2,1,0,0,1,0,0,1,1,0,1,0,4,1,1,1,0,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12249,"Jack","Billings","Melbourne",14,"0","2024-03-07",1,1,2,0,0,0,0,2,0,0,0,2,0,1,0,3,2,0,0,1,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12931,"Jake","Bowey","Melbourne",17,"0","2024-03-07",13,1,14,3,0,0,0,1,6,0,0,1,0,0,0,1,9,0,0,1,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12756,"Kade","Chandler","Melbourne",37,"0","2024-03-07",4,7,11,2,0,0,0,3,0,3,0,3,0,0,0,5,6,0,0,2,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12598,"Bayley","Fritsch","Melbourne",31,"0","2024-03-07",6,0,6,2,4,1,0,3,0,0,0,2,1,1,0,1,6,0,2,1,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
11966,"Max","Gawn","Melbourne",11,"0","2024-03-07",8,6,14,1,0,1,37,4,2,0,2,6,6,4,0,9,8,0,0,0,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
13098,"Blake","Howes","Melbourne",22,"0","2024-03-07",9,8,17,7,0,0,0,3,5,1,0,3,1,1,0,9,9,0,0,4,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12393,"Ed","Langdon","Melbourne",15,"0","2024-03-07",10,9,19,4,1,0,0,3,3,5,0,4,1,0,0,9,12,0,2,0,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
13032,"Bailey","Laurie","Melbourne",16,"0","2024-03-07",3,5,8,1,0,0,0,1,1,3,0,1,0,0,0,2,6,0,0,0,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
12351,"Jake","Lever","Melbourne",8,"0","2024-03-07",9,3,12,6,0,0,0,0,3,2,0,3,0,1,0,1,12,0,0,5,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
11940,"Steven","May","Melbourne",1,"0","2024-03-07",14,7,21,5,0,0,0,2,7,2,0,1,2,0,0,7,10,1,0,9,0,0,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
13033,"Judd","McVee","Melbourne",4,"0","2024-03-07",14,6,20,6,0,0,0,0,9,1,3,2,1,0,0,8,11,0,0,2,0,1,"S.C.G.",40012,"Sydney","Melbourne",86,64,2024
