"Year","Round.Number","First.Name","Surname","Team.Name","Coaches.Votes","Home.Team","Away.Team"
2015,1,"Taylor","Hunt","RICH",7,"Carlton","Richmond"
2015,1,"Brandon","Ellis","RICH",6,"Carlton","Richmond"
2015,1,"Shane","Edwards","RICH",6,"Carlton","Richmond"
2015,1,"Kamdyn","McIntosh","RICH",5,"Carlton","Richmond"
2015,1,"Sam","Docherty","CARL",3,"Carlton","Richmond"
2015,1,"Nick","Vlastuin","RICH",3,"Carlton","Richmond"
2015,1,"Tom","McDonald","MELB",10,"Melbourne","Gold Coast Suns"
2015,1,"Jack","Watts","MELB",6,"Melbourne","Gold Coast Suns"
2015,1,"Jeremy","Howe","MELB",4,"Melbourne","Gold Coast Suns"
2015,1,"Jeff","Garlett","MELB",4,"Melbourne","Gold Coast Suns"
2015,1,"Nathan","Jones","MELB",2,"Melbourne","Gold Coast Suns"
2015,1,"Jack","Viney","MELB",2,"Melbourne","Gold Coast Suns"
2015,1,"Dion","Prestia","GCFC",1,"Melbourne","Gold Coast Suns"
2015,1,"Michael","Rischitelli","GCFC",1,"Melbourne","Gold Coast Suns"
2015,1,"Luke","Parker","SYD",8,"Sydney Swans","Essendon"
2015,1,"Kieren","Jack","SYD",7,"Sydney Swans","Essendon"
2015,1,"Josh","Kennedy","SYD",6,"Sydney Swans","Essendon"
2015,1,"Dan","Hannebery","SYD",5,"Sydney Swans","Essendon"
2015,1,"Michael","Hurley","ESS",2,"Sydney Swans","Essendon"
2015,1,"Lance","Franklin","SYD",1,"Sydney Swans","Essendon"
2015,1,"Jake","Melksham","ESS",1,"Sydney Swans","Essendon"
2015,1,"Steele","Sidebottom","COLL",10,"Brisbane Lions","Collingwood"
2015,1,"Brodie","Grundy","COLL",4,"Brisbane Lions","Collingwood"
2015,1,"Daniel","Rich","BL",4,"Brisbane Lions","Collingwood"
2015,1,"Scott","Pendlebury","COLL",4,"Brisbane Lions","Collingwood"
2015,1,"Josh","Green","BL",3,"Brisbane Lions","Collingwood"
2015,1,"Jarryd","Blair","COLL",2,"Brisbane Lions","Collingwood"
2015,1,"Taylor","Adams","COLL",2,"Brisbane Lions","Collingwood"
2015,1,"Alan","Toovey","COLL",1,"Brisbane Lions","Collingwood"
2015,1,"Jeremy","McGovern","WCE",10,"Western Bulldogs","West Coast Eagles"
2015,1,"Jake","Stringer","WB",5,"Western Bulldogs","West Coast Eagles"
2015,1,"Jamie","Cripps","WCE",5,"Western Bulldogs","West Coast Eagles"
2015,1,"Matthew","Boyd","WB",4,"Western Bulldogs","West Coast Eagles"
2015,1,"Will","Minson","WB",4,"Western Bulldogs","West Coast Eagles"
2015,1,"Marcus","Bontempelli","WB",1,"Western Bulldogs","West Coast Eagles"
2015,1,"Mitch","Wallis","WB",1,"Western Bulldogs","West Coast Eagles"
2015,1,"Dylan","Shiel","GWS",10,"St Kilda","GWS Giants"
2015,1,"Jarryn","Geary","STK",4,"St Kilda","GWS Giants"
2015,1,"Adam","Treloar","GWS",4,"St Kilda","GWS Giants"
2015,1,"Jack","Steven","STK",4,"St Kilda","GWS Giants"
2015,1,"Lachie","Whitfield","GWS",3,"St Kilda","GWS Giants"
2015,1,"Shane","Savage","STK",2,"St Kilda","GWS Giants"
2015,1,"Maverick","Weller","STK",2,"St Kilda","GWS Giants"
2015,1,"Cam","McCarthy","GWS",1,"St Kilda","GWS Giants"
2015,1,"Taylor","Walker","ADEL",10,"Adelaide Crows","North Melbourne"
2015,1,"Patrick","Dangerfield","ADEL",7,"Adelaide Crows","North Melbourne"
2015,1,"Rory","Sloane","ADEL",4,"Adelaide Crows","North Melbourne"
2015,1,"Eddie","Betts","ADEL",3,"Adelaide Crows","North Melbourne"
2015,1,"Rory","Laird","ADEL",3,"Adelaide Crows","North Melbourne"
2015,1,"Richard","Douglas","ADEL",2,"Adelaide Crows","North Melbourne"
2015,1,"Shaun","Higgins","NMFC",1,"Adelaide Crows","North Melbourne"
2015,1,"Nathan","Fyfe","FRE",10,"Fremantle","Port Adelaide"
2015,1,"Danyle","Pearce","FRE",6,"Fremantle","Port Adelaide"
2015,1,"Ollie","Wines","PORT",4,"Fremantle","Port Adelaide"
2015,1,"David","Mundy","FRE",4,"Fremantle","Port Adelaide"
2015,1,"Matthew","Pavlich","FRE",3,"Fremantle","Port Adelaide"
2015,1,"Jared","Polec","PORT",2,"Fremantle","Port Adelaide"
2015,1,"Brad","Ebert","PORT",1,"Fremantle","Port Adelaide"
2015,1,"Jordan","Lewis","HAW",8,"Hawthorn","Geelong Cats"
2015,1,"Josh","Gibson","HAW",8,"Hawthorn","Geelong Cats"
2015,1,"Shaun","Burgoyne","HAW",6,"Hawthorn","Geelong Cats"
2015,1,"Luke","Breust","HAW",4,"Hawthorn","Geelong Cats"
2015,1,"Luke","Hodge","HAW",2,"Hawthorn","Geelong Cats"
2015,1,"Jarryd","Roughead","HAW",1,"Hawthorn","Geelong Cats"
2015,1,"Paul","Puopolo","HAW",1,"Hawthorn","Geelong Cats"
2015,2,"Josh","J Kennedy","WCE",10,"West Coast Eagles","Carlton"
2015,2,"Matt","Priddis","WCE",6,"West Coast Eagles","Carlton"
2015,2,"Matt","Rosa","WCE",5,"West Coast Eagles","Carlton"
2015,2,"Nic","Naitanui","WCE",5,"West Coast Eagles","Carlton"
2015,2,"Luke","Shuey","WCE",4,"West Coast Eagles","Carlton"
2015,2,"Marcus","Bontempelli","WB",9,"Richmond","Western Bulldogs"
2015,2,"Alex","Rance","RICH",9,"Richmond","Western Bulldogs"
2015,2,"Tory","Dickson","WB",6,"Richmond","Western Bulldogs"
2015,2,"Robert","Murphy","WB",3,"Richmond","Western Bulldogs"
2015,2,"Matthew","Boyd","WB",2,"Richmond","Western Bulldogs"
2015,2,"Dustin","Martin","RICH",1,"Richmond","Western Bulldogs"
2015,2,"Dylan","Shiel","GWS",9,"GWS Giants","Melbourne"
2015,2,"Stephen","Coniglio","GWS",9,"GWS Giants","Melbourne"
2015,2,"Callan","Ward","GWS",5,"GWS Giants","Melbourne"
2015,2,"Adam","Treloar","GWS",3,"GWS Giants","Melbourne"
2015,2,"Shane","Mumford","GWS",2,"GWS Giants","Melbourne"
2015,2,"Tom","McDonald","MELB",2,"GWS Giants","Melbourne"
2015,2,"Brodie","Smith","ADEL",10,"Collingwood","Adelaide Crows"
2015,2,"Rory","Sloane","ADEL",8,"Collingwood","Adelaide Crows"
2015,2,"Daniel","Talia","ADEL",4,"Collingwood","Adelaide Crows"
2015,2,"Sam","Jacobs","ADEL",3,"Collingwood","Adelaide Crows"
2015,2,"Patrick","Dangerfield","ADEL",3,"Collingwood","Adelaide Crows"
2015,2,"Scott","Pendlebury","COLL",1,"Collingwood","Adelaide Crows"
2015,2,"Ricky","Henderson","ADEL",1,"Collingwood","Adelaide Crows"
2015,2,"Josh","Kennedy","SYD",10,"Port Adelaide","Sydney Swans"
2015,2,"Kieren","Jack","SYD",7,"Port Adelaide","Sydney Swans"
2015,2,"Dan","Hannebery","SYD",6,"Port Adelaide","Sydney Swans"
2015,2,"Dane","Rampe","SYD",5,"Port Adelaide","Sydney Swans"
2015,2,"Craig","Bird","SYD",1,"Port Adelaide","Sydney Swans"
2015,2,"Jarrad","McVeigh","SYD",1,"Port Adelaide","Sydney Swans"
2015,2,"David","Armitage","STK",9,"Gold Coast Suns","St Kilda"
2015,2,"Josh","Bruce","STK",9,"Gold Coast Suns","St Kilda"
2015,2,"Sam","Fisher","STK",5,"Gold Coast Suns","St Kilda"
2015,2,"Jack","Steven","STK",3,"Gold Coast Suns","St Kilda"
2015,2,"Nick","Riewoldt","STK",2,"Gold Coast Suns","St Kilda"
2015,2,"Jarryn","Geary","STK",1,"Gold Coast Suns","St Kilda"
2015,2,"Shane","Savage","STK",1,"Gold Coast Suns","St Kilda"
2015,2,"Nathan","Fyfe","FRE",10,"Geelong Cats","Fremantle"
2015,2,"David","Mundy","FRE",8,"Geelong Cats","Fremantle"
2015,2,"Stephen","Hill","FRE",6,"Geelong Cats","Fremantle"
2015,2,"Michael","Barlow","FRE",3,"Geelong Cats","Fremantle"
2015,2,"Garrick","Ibbotson","FRE",2,"Geelong Cats","Fremantle"
2015,2,"Michael","Johnson","FRE",1,"Geelong Cats","Fremantle"
2015,2,"Cale","Hooker","ESS",9,"Essendon","Hawthorn"
2015,2,"Michael","Hurley","ESS",7,"Essendon","Hawthorn"
2015,2,"Zach","Merrett","ESS",5,"Essendon","Hawthorn"
2015,2,"Brian","Lake","HAW",3,"Essendon","Hawthorn"
2015,2,"Travis","Colyer","ESS",2,"Essendon","Hawthorn"
2015,2,"Jordan","Lewis","HAW",2,"Essendon","Hawthorn"
2015,2,"Dyson","Heppell","ESS",1,"Essendon","Hawthorn"
2015,2,"Jack","Gunston","HAW",1,"Essendon","Hawthorn"
2015,2,"Todd","Goldstein","NMFC",10,"North Melbourne","Brisbane Lions"
2015,2,"Jarrad","Waite","NMFC",8,"North Melbourne","Brisbane Lions"
2015,2,"Ben","Cunnington","NMFC",6,"North Melbourne","Brisbane Lions"
2015,2,"Jack","Ziebell","NMFC",4,"North Melbourne","Brisbane Lions"
2015,2,"Luke","McDonald","NMFC",1,"North Melbourne","Brisbane Lions"
2015,2,"Sam","Gibson","NMFC",1,"North Melbourne","Brisbane Lions"
2015,3,"Dane","Swan","COLL",10,"Collingwood","St Kilda"
2015,3,"Brodie","Grundy","COLL",7,"Collingwood","St Kilda"
2015,3,"Scott","Pendlebury","COLL",7,"Collingwood","St Kilda"
2015,3,"Travis","Cloke","COLL",4,"Collingwood","St Kilda"
2015,3,"Travis","Varcoe","COLL",1,"Collingwood","St Kilda"
2015,3,"David","Armitage","STK",1,"Collingwood","St Kilda"
2015,3,"Rory","Sloane","ADEL",9,"Adelaide Crows","Melbourne"
2015,3,"David","MacKay","ADEL",6,"Adelaide Crows","Melbourne"
2015,3,"Scott","Thompson","ADEL",6,"Adelaide Crows","Melbourne"
2015,3,"Tom","McDonald","MELB",5,"Adelaide Crows","Melbourne"
2015,3,"Heritier","Lumumba","MELB",2,"Adelaide Crows","Melbourne"
2015,3,"Bernie","Vince","MELB",2,"Adelaide Crows","Melbourne"
2015,3,"Jobe","Watson","ESS",10,"Carlton","Essendon"
2015,3,"Cale","Hooker","ESS",7,"Carlton","Essendon"
2015,3,"Michael","Hurley","ESS",6,"Carlton","Essendon"
2015,3,"Michael","Hibberd","ESS",3,"Carlton","Essendon"
2015,3,"Dyson","Heppell","ESS",2,"Carlton","Essendon"
2015,3,"Ben","Howlett","ESS",2,"Carlton","Essendon"
2015,3,"Lance","Franklin","SYD",9,"Sydney Swans","GWS Giants"
2015,3,"Dan","Hannebery","SYD",9,"Sydney Swans","GWS Giants"
2015,3,"Lachie","Whitfield","GWS",6,"Sydney Swans","GWS Giants"
2015,3,"Craig","Bird","SYD",2,"Sydney Swans","GWS Giants"
2015,3,"Isaac","Heeney","SYD",2,"Sydney Swans","GWS Giants"
2015,3,"Devon","Smith","GWS",2,"Sydney Swans","GWS Giants"
2015,3,"Brad","Ebert","PORT",10,"North Melbourne","Port Adelaide"
2015,3,"Jasper","Pittard","PORT",4,"North Melbourne","Port Adelaide"
2015,3,"Matthew","Broadbent","PORT",4,"North Melbourne","Port Adelaide"
2015,3,"Sam","Gibson","NMFC",3,"North Melbourne","Port Adelaide"
2015,3,"Andrew","Swallow","NMFC",3,"North Melbourne","Port Adelaide"
2015,3,"Robbie","Gray","PORT",2,"North Melbourne","Port Adelaide"
2015,3,"Hamish","Hartlett","PORT",2,"North Melbourne","Port Adelaide"
2015,3,"Lindsay","Thomas","NMFC",1,"North Melbourne","Port Adelaide"
2015,3,"Luke","McDonald","NMFC",1,"North Melbourne","Port Adelaide"
2015,3,"Trent","Cotchin","RICH",10,"Brisbane Lions","Richmond"
2015,3,"Bachar","Houli","RICH",8,"Brisbane Lions","Richmond"
2015,3,"Shane","Edwards","RICH",6,"Brisbane Lions","Richmond"
2015,3,"Dustin","Martin","RICH",2,"Brisbane Lions","Richmond"
2015,3,"Dayne","Beams","BL",2,"Brisbane Lions","Richmond"
2015,3,"Stefan","Martin","BL",2,"Brisbane Lions","Richmond"
2015,3,"Luke","Hodge","HAW",10,"Hawthorn","Western Bulldogs"
2015,3,"Jarryd","Roughead","HAW",8,"Hawthorn","Western Bulldogs"
2015,3,"Grant","Birchall","HAW",5,"Hawthorn","Western Bulldogs"
2015,3,"Jordan","Lewis","HAW",3,"Hawthorn","Western Bulldogs"
2015,3,"Taylor","Duryea","HAW",2,"Hawthorn","Western Bulldogs"
2015,3,"Brian","Lake","HAW",2,"Hawthorn","Western Bulldogs"
2015,3,"Lachie","Neale","FRE",10,"West Coast Eagles","Fremantle"
2015,3,"Stephen","Hill","FRE",8,"West Coast Eagles","Fremantle"
2015,3,"Danyle","Pearce","FRE",5,"West Coast Eagles","Fremantle"
2015,3,"Nathan","Fyfe","FRE",3,"West Coast Eagles","Fremantle"
2015,3,"Luke","McPharlin","FRE",2,"West Coast Eagles","Fremantle"
2015,3,"Zac","Clarke","FRE",1,"West Coast Eagles","Fremantle"
2015,3,"Garrick","Ibbotson","FRE",1,"West Coast Eagles","Fremantle"
2015,3,"Joel","Selwood","GEEL",10,"Geelong Cats","Gold Coast Suns"
2015,3,"Tom","J Lynch","GCFC",5,"Geelong Cats","Gold Coast Suns"
2015,3,"Michael","Rischitelli","GCFC",4,"Geelong Cats","Gold Coast Suns"
2015,3,"Harley","Bennell","GCFC",4,"Geelong Cats","Gold Coast Suns"
2015,3,"Mark","Blicavs","GEEL",3,"Geelong Cats","Gold Coast Suns"
2015,3,"James","Kelly","GEEL",2,"Geelong Cats","Gold Coast Suns"
2015,3,"Dion","Prestia","GCFC",1,"Geelong Cats","Gold Coast Suns"
2015,3,"Cory","Gregson","GEEL",1,"Geelong Cats","Gold Coast Suns"
2015,4,"Nathan","Jones","MELB",10,"Richmond","Melbourne"
